prop_id,size_acres,size_square_feet,land_type_cd,land_soil_code,ag_use_cd,primary_use_cd
41184,.8000,34848.00,"9         ",None,,11
41186,.2932,12773.00,"9         ",None,,11
41187,.2979,12979.00,"9         ",None,,11
41188,.7852,34204.00,"9         ",None,,11
41189,68.6500,2178000.00,"4         ","Irrigated Agland #1                     ","AG   ",83
41190,.4800,.00,"4         ","Irrigated Agland #1                     ","AG   ",83
41191,1.0000,43560.00,"9         ","Rural Homesite                          ","AG   ",83
41191,2.8500,.00,"9         ","Irrigated AG1 SITE                      ","AG   ",83
41192,59.6700,2599225.20,"4         ","Irrigated Agland #1                     ","AG   ",83
41192,1.0000,.00,"9         ","Rural Homesite                          ","AG   ",83
41193,1.4400,62726.40,"9         ",None,,18
41194,76.5700,2596176.00,"4         ","Irrigated Agland #1                     ","AG   ",83
41195,45.5000,2069100.00,"4         ","Irrigated Agland #1                     ","AG   ",83
41195,3.0000,.00,"51        ","Dry Pasture #1                          ","AG   ",83
41196,66.0500,2877138.00,"4         ","Irrigated Agland #1                     ","AG   ",83
41196,1.0000,43560.00,"9         ","Rural Homesite                          ","AG   ",83
41197,73.0100,1219680.00,"4         ","Irrigated Agland #1                     ","AG   ",83
41198,64.0000,2090880.00,"4         ","Irrigated Agland #1                     ","AG   ",83
41198,12.9700,409464.00,"51        ","Dry Pasture #1                          ","AG   ",83
41199,49.9000,2173644.00,"4         ","Irrigated Agland #1                     ","AG   ",83
41199,6.4700,281833.20,"51        ","Dry Pasture #1                          ","AG   ",83
41201,4.5500,163785.60,"4         ","Irrigated Agland #1                     ","AG   ",83
41201,.1500,40946.40,"51        ","Dry Pasture #1                          ","AG   ",83
41202,3.4000,148104.00,"4         ","Irrigated Agland #1                     ","AG   ",83
41202,.5200,22651.20,"51        ","Dry Pasture #1                          ","AG   ",83
41203,3.9800,173368.80,"51        ","Dry Pasture #3                          ","AG   ",83
41203,1.0000,43560.00,"4         ","Irrigated Agland #1                     ","AG   ",83
41204,6.1000,265716.00,"51        ","Dry Pasture #3                          ","AG   ",83
41205,1.6000,69696.00,"41        ","Irrigated Pasture #3                    ","AG   ",83
41205,5.2900,230432.40,"51        ","Dry Pasture #3                          ","AG   ",83
41206,7.0300,306226.80,"51        ","Dry Pasture #3                          ","AG   ",83
41207,3.0000,130680.00,"4         ","Irrigated Agland #1                     ","AG   ",83
41207,.4000,17424.00,"51        ","Dry Pasture #1                          ","AG   ",83
41208,2.6500,115434.00,"4         ","Irrigated Agland #1                     ","AG   ",83
41208,1.2300,53578.80,"51        ","Dry Pasture #1                          ","AG   ",83
