prop_id,owner_id,exmpt_type_cd,exmpt_subtype_cd,exemption_pct
34362,441812,SNR/DSBL,SA,100.00
34389,418742,EX,"GOVT ",
34390,40883,SNR/DSBL,SC,100.00
34400,47202,SNR/DSBL,"SA   ",100.00
34402,468424,SNR/DSBL,SA,100.00
34406,123309,SNR/DSBL,SA,100.00
34421,84823,SNR/DSBL,SA,100.00
34438,148040,SNR/DSBL,SA,100.00
34456,451524,SNR/DSBL,SA,100.00
34470,40325,SNR/DSBL,SA,66.66
34486,418742,EX,"GOVT ",
34514,46058,SNR/DSBL,SA,100.00
34526,193774,SNR/DSBL,"SA   ",100.00
34527,141086,SNR/DSBL,SA,100.00
34550,62601,SNR/DSBL,SB,100.00
34565,455731,SNR/DSBL,SA,100.00
34632,109875,EX,DOR,100.00
34647,112505,SNR/DSBL,SB,100.00
34650,179577,SNR/DSBL,"SA   ",100.00
34680,76688,SNR/DSBL,SC,100.00
34686,155333,SNR/DSBL,SA,100.00
34708,81126,SNR/DSBL,"SA   ",100.00
34709,217117,SNR/DSBL,SA,100.00
34735,27816,SNR/DSBL,SA,100.00
34766,195277,SNR/DSBL,"SA   ",100.00
34768,15421,SNR/DSBL,SA,100.00
34806,93381,SNR/DSBL,SA,100.00
34818,435197,SNR/DSBL,SB,100.00
34823,132530,SNR/DSBL,SA,100.00
34825,69400,SNR/DSBL,SA,100.00
34828,459291,SNR/DSBL,SA,100.00
34880,288729,EX,DOR,100.00
34892,437530,SNR/DSBL,SC,100.00
34894,61536,EX,DOR,100.00
34898,127175,SNR/DSBL,"SA   ",100.00
34899,39459,EX,DOR,100.00
34903,208286,EX,DOR,100.00
34905,424886,SNR/DSBL,SA,100.00
34915,117519,DOR,,100.00
34916,61536,EX,DOR,100.00
10009,47041,EX,"GOVT ",
61169,199219,EX,"GOVT ",
61182,102423,EX,"GOVT ",
61192,47062,EX,"GOVT ",
61193,17795,EX,"GOVT ",
61197,102434,EX,"GOVT ",
61199,17693,EX,GOVT,100.00
61202,17837,EX,GOVT,100.00
61206,102434,EX,"GOVT ",
61218,47076,EX,"GOVT ",
61274,26348,DOR,,100.00
61323,115475,SNR/DSBL,SA,100.00
61325,462501,SNR/DSBL,SA,100.00
61333,102426,EX,"GOVT ",
61345,102425,EX,"GOVT ",
61346,56389,SNR/DSBL,SA,100.00
61379,47044,EX,"GOVT ",
61404,86986,EX,"GOVT ",
61419,27870,EX,"GOVT ",
61499,206610,EX,DOR,100.00
61511,12216,EX,GOVT,100.00
61512,109919,EX,DOR,100.00
61519,86973,EX,"GOVT ",
61520,61597,EX,"GOVT ",
61538,27861,EX,"GOVT ",
61539,126941,EX,"GOVT ",
61585,30720,DOR,,100.00
61588,86972,EX,"GOVT ",
61595,160325,SNR/DSBL,EX(DOR),100.00
61639,76305,SNR/DSBL,"SA   ",.00
61691,456099,SNR/DSBL,SA,100.00
61736,437929,SNR/DSBL,"SA   ",100.00
61763,86956,EX,"GOVT ",
61764,86956,EX,"GOVT ",
61770,86956,EX,"GOVT ",
61781,467443,SNR/DSBL,SB,100.00
61791,86956,EX,"GOVT ",
61803,47067,EX,"GOVT ",
61819,199219,EX,"GOVT ",
61866,17675,EX,"GOVT ",
61873,10670,SNR/DSBL,SA,100.00
61887,114934,SNR/DSBL,SB,100.00
61897,143684,SNR/DSBL,SA,50.00
61911,111202,SNR/DSBL,SA,100.00
61915,86557,SNR/DSBL,"SA   ",100.00
61926,160325,EX,UTL,100.00
